[2025-09-15 11:06:25] [INFO    ] discord.client: logging in using static token
[2025-09-15 11:06:26] [DEBUG   ] discord.gateway: For Shard ID None: WebSocket Event: {'t': 'READY', 's': 1, 'op': 0, 'd': {'v': 10, 'user_settings': {}, 'user': {'verified': True, 'username': 'RTC', 'primary_guild': None, 'mfa_enabled': False, 'id': '1417157822289805362', 'global_name': None, 'flags': 0, 'email': None, 'discriminator': '2759', 'clan': None, 'bot': True, 'avatar': None}, 'session_type': 'normal', 'session_id': 'dd0d03d7904a3d9cc5926e5c03c6015a', 'resume_gateway_url': 'wss://gateway-us-east1-d.discord.gg', 'relationships': [], 'private_channels': [], 'presences': [], 'guilds': [{'unavailable': True, 'id': '1145805141291827272'}], 'guild_join_requests': [], 'geo_ordered_rtc_regions': ['us-central', 'us-east', 'atlanta', 'newark', 'us-south'], 'game_relationships': [], 'auth': {}, 'application': {'id': '1417157822289805362', 'flags': 557056}, '_trace': ['["gateway-prd-arm-us-east1-d-398w",{"micros":135899,"calls":["id_created",{"micros":576,"calls":[]},"session_lookup_time",{"micros":234,"calls":[]},"session_lookup_finished",{"micros":10,"calls":[]},"discord-sessions-prd-2-54",{"micros":134413,"calls":["start_session",{"micros":95512,"calls":["discord-api-rpc-86cdf9d899-bh8n7",{"micros":55834,"calls":["get_user",{"micros":5211},"get_guilds",{"micros":3559},"send_scheduled_deletion_message",{"micros":9},"guild_join_requests",{"micros":14440},"authorized_ip_coro",{"micros":8},"pending_payments",{"micros":23219},"apex_experiments",{"micros":2372},"user_activities",{"micros":4},"played_application_ids",{"micros":2}]}]},"starting_guild_connect",{"micros":34,"calls":[]},"presence_started",{"micros":7529,"calls":[]},"guilds_started",{"micros":76,"calls":[]},"lobbies_started",{"micros":1,"calls":[]},"guilds_connect",{"micros":1,"calls":[]},"presence_connect",{"micros":31237,"calls":[]},"connect_finished",{"micros":31241,"calls":[]},"build_ready",{"micros":17,"calls":[]},"clean_ready",{"micros":1,"calls":[]},"optimize_ready",{"micros":0,"calls":[]},"split_ready",{"micros":1,"calls":[]}]}]}]']}}
[2025-09-15 11:06:26] [DEBUG   ] discord.client: Dispatching event socket_event_type
[2025-09-15 11:06:26] [INFO    ] discord.gateway: Shard ID None has connected to Gateway (Session ID: dd0d03d7904a3d9cc5926e5c03c6015a).
[2025-09-15 11:06:26] [DEBUG   ] discord.client: Dispatching event connect
[2025-09-15 11:06:26] [DEBUG   ] discord.gateway: For Shard ID None: WebSocket Event: {'t': 'GUILD_CREATE', 's': 2, 'op': 0, 'd': {'nsfw_level': 0, 'splash': None, 'lazy': True, 'afk_channel_id': None, 'owner_id': '1145804600012718159', 'verification_level': 0, 'afk_timeout': 300, 'icon': None, 'profile': None, 'premium_progress_bar_enabled': False, 'default_message_notifications': 0, 'member_count': 3, 'safety_alerts_channel_id': None, 'mfa_level': 0, 'soundboard_sounds': [], 'application_command_counts': {}, 'banner': None, 'max_video_channel_users': 25, 'unavailable': False, 'id': '1145805141291827272', 'vanity_url_code': None, 'preferred_locale': 'en-US', 'name': 'Server1', 'region': 'deprecated', 'stage_instances': [], 'moderator_reporting': None, 'latest_onboarding_question_id': None, 'members': [{'user': {'username': 'RTC', 'public_flags': 0, 'primary_guild': None, 'id': '1417157822289805362', 'global_name': None, 'display_name_styles': None, 'display_name': None, 'discriminator': '2759', 'collectibles': None, 'bot': True, 'avatar_decoration_data': None, 'avatar': None}, 'roles': ['1417159280385065094'], 'premium_since': None, 'pending': False, 'nick': None, 'mute': False, 'joined_at': '2025-09-15T14:45:02.096166+00:00', 'flags': 0, 'deaf': False, 'communication_disabled_until': None, 'banner': None, 'avatar': None}], 'presences': [], 'threads': [], 'embedded_activities': [], 'hub_type': None, 'inventory_settings': None, 'description': None, 'max_stage_video_channel_users': 50, 'owner_configured_content_level': 0, 'premium_features': None, 'explicit_content_filter': 0, 'premium_tier': 0, 'large': False, 'premium_subscription_count': 0, 'system_channel_flags': 0, 'channels': [{'version': 1693251633930, 'type': 4, 'position': 0, 'permission_overwrites': [], 'name': 'Text Channels', 'id': '1145805142168449154', 'flags': 0}, {'version': 1693251633941, 'type': 4, 'position': 0, 'permission_overwrites': [], 'name': 'Voice Channels', 'id': '1145805142168449155', 'flags': 0}, {'version': 1693251633947, 'type': 0, 'topic': None, 'rate_limit_per_user': 0, 'position': 0, 'permission_overwrites': [], 'parent_id': '1145805142168449154', 'name': 'general', 'last_message_id': '1417177887810916456', 'id': '1145805142168449156', 'flags': 0}, {'version': 1693251633954, 'user_limit': 0, 'type': 2, 'rtc_region': None, 'rate_limit_per_user': 0, 'position': 0, 'permission_overwrites': [], 'parent_id': '1145805142168449155', 'name': 'General', 'last_message_id': None, 'id': '1145805142168449157', 'flags': 0, 'bitrate': 64000}, {'version': 1693252276388, 'type': 4, 'position': 1, 'permission_overwrites': [], 'name': 'important', 'id': '1145807836849385662', 'flags': 0}, {'version': 1693252314159, 'type': 0, 'topic': None, 'rate_limit_per_user': 0, 'position': 1, 'permission_overwrites': [], 'parent_id': '1145807836849385662', 'name': 'feed', 'last_message_id': None, 'id': '1145807995272450171', 'flags': 0}], 'voice_states': [], 'system_channel_id': '1145805142168449156', 'guild_scheduled_events': [], 'rules_channel_id': None, 'roles': [{'version': 1693251633915, 'unicode_emoji': None, 'tags': {}, 'position': 0, 'permissions': '2248473465835073', 'name': '@everyone', 'mentionable': False, 'managed': False, 'id': '1145805141291827272', 'icon': None, 'hoist': False, 'flags': 0, 'colors': {'tertiary_color': None, 'secondary_color': None, 'primary_color': 0}, 'color': 0}, {'version': 1757948283882, 'unicode_emoji': None, 'tags': {'bot_id': '1145808418729373736'}, 'position': 3, 'permissions': '2579753062', 'name': 'BotTools', 'mentionable': False, 'managed': True, 'id': '1145809582288011297', 'icon': None, 'hoist': False, 'flags': 0, 'colors': {'tertiary_color': None, 'secondary_color': None, 'primary_color': 0}, 'color': 0}, {'version': 1757948283877, 'unicode_emoji': None, 'tags': {'bot_id': '1417157822289805362'}, 'position': 2, 'permissions': '2815061420911680', 'name': 'RTC', 'mentionable': False, 'managed': True, 'id': '1417159280385065094', 'icon': None, 'hoist': False, 'flags': 0, 'colors': {'tertiary_color': None, 'secondary_color': None, 'primary_color': 0}, 'color': 0}, {'version': 1757948284122, 'unicode_emoji': None, 'tags': {}, 'position': 1, 'permissions': '0', 'name': 'User', 'mentionable': False, 'managed': False, 'id': '1417162523840352310', 'icon': None, 'hoist': False, 'flags': 0, 'colors': {'tertiary_color': None, 'secondary_color': None, 'primary_color': 3066993}, 'color': 3066993}], 'joined_at': '2025-09-15T14:45:02.096166+00:00', 'application_id': None, 'public_updates_channel_id': None, 'version': 1757948270579, 'nsfw': False, 'activity_instances': [], 'max_members': 25000000, 'discovery_splash': None, 'incidents_data': None, 'home_header': None, 'features': [], 'stickers': [], 'emojis': []}}
[2025-09-15 11:06:26] [DEBUG   ] discord.client: Dispatching event socket_event_type
[2025-09-15 11:06:26] [DEBUG   ] discord.gateway: For Shard ID None: WebSocket Event: {'t': 'GUILD_MEMBERS_CHUNK', 's': 3, 'op': 0, 'd': {'nonce': '5982aa2d7ba3862e94c5bef0e87fff59', 'members': [{'user': {'username': 'penguin699634', 'public_flags': 0, 'primary_guild': None, 'id': '1145804600012718159', 'global_name': 'owusu', 'display_name_styles': None, 'display_name': 'owusu', 'discriminator': '0', 'collectibles': None, 'bot': False, 'avatar_decoration_data': None, 'avatar': '9ed6ae3abfcebf44a1af017537f66e10'}, 'roles': ['1417162523840352310'], 'premium_since': None, 'pending': False, 'nick': None, 'mute': False, 'joined_at': '2023-08-28T19:40:33.745000+00:00', 'flags': 0, 'deaf': False, 'communication_disabled_until': None, 'banner': None, 'avatar': None}, {'user': {'username': 'BasicBot', 'public_flags': 0, 'primary_guild': None, 'id': '1145808418729373736', 'global_name': None, 'display_name_styles': None, 'display_name': None, 'discriminator': '0223', 'collectibles': None, 'bot': True, 'avatar_decoration_data': None, 'avatar': None}, 'roles': ['1145809582288011297'], 'premium_since': None, 'pending': False, 'nick': None, 'mute': False, 'joined_at': '2023-08-28T19:58:12.613000+00:00', 'flags': 0, 'deaf': False, 'communication_disabled_until': None, 'banner': None, 'avatar': None}, {'user': {'username': 'RTC', 'public_flags': 0, 'primary_guild': None, 'id': '1417157822289805362', 'global_name': None, 'display_name_styles': None, 'display_name': None, 'discriminator': '2759', 'collectibles': None, 'bot': True, 'avatar_decoration_data': None, 'avatar': None}, 'roles': ['1417159280385065094'], 'premium_since': None, 'pending': False, 'nick': None, 'mute': False, 'joined_at': '2025-09-15T14:45:02.096166+00:00', 'flags': 0, 'deaf': False, 'communication_disabled_until': None, 'banner': None, 'avatar': None}], 'guild_id': '1145805141291827272', 'chunk_index': 0, 'chunk_count': 1}}
[2025-09-15 11:06:26] [DEBUG   ] discord.client: Dispatching event socket_event_type
[2025-09-15 11:06:26] [DEBUG   ] discord.state: Processed a chunk for 3 members in guild ID 1145805141291827272.
[2025-09-15 11:06:28] [DEBUG   ] discord.client: Dispatching event guild_available
[2025-09-15 11:06:28] [DEBUG   ] discord.client: Dispatching event ready
[2025-09-15 11:06:28] [DEBUG   ] discord.http: PUT https://discord.com/api/v10/applications/1417157822289805362/guilds/1145805141291827272/commands with [{"name":"calculate","description":"Determines whether a trade is good or not depending on the ids of the items given and received","type":1,"options":[{"type":3,"name":"items_giving","description":"\u2026","required":true},{"type":3,"name":"items_receiving","description":"\u2026","required":true}],"nsfw":false,"dm_permission":true,"default_member_permissions":null,"contexts":null,"integration_types":null},{"name":"getinfo","description":"Gets information about a specific item","type":1,"options":[{"type":4,"name":"item_id","description":"\u2026","required":true}],"nsfw":false,"dm_permission":true,"default_member_permissions":null,"contexts":null,"integration_types":null}] has returned 200
[2025-09-15 11:06:28] [DEBUG   ] discord.http: PUT /applications/{application_id}/guilds/{guild_id}/commands has found its initial rate limit bucket hash (3e32a240d3716487d7d8f6dae6c54f6b).
[2025-09-15 11:06:28] [DEBUG   ] discord.http: PUT https://discord.com/api/v10/applications/1417157822289805362/guilds/1145805141291827272/commands has received [{'id': '1417173395937951858', 'application_id': '1417157822289805362', 'version': '1417174100803063969', 'default_member_permissions': None, 'type': 1, 'name': 'calculate', 'name_localizations': None, 'description': 'Determines whether a trade is good or not depending on the ids of the items given and received', 'description_localizations': None, 'guild_id': '1145805141291827272', 'options': [{'type': 3, 'name': 'items_giving', 'name_localizations': None, 'description': '…', 'description_localizations': None, 'required': True}, {'type': 3, 'name': 'items_receiving', 'name_localizations': None, 'description': '…', 'description_localizations': None, 'required': True}], 'nsfw': False}, {'id': '1417178963268075617', 'application_id': '1417157822289805362', 'version': '1417178963767328779', 'default_member_permissions': None, 'type': 1, 'name': 'getinfo', 'name_localizations': None, 'description': 'Gets information about a specific item', 'description_localizations': None, 'guild_id': '1145805141291827272', 'options': [{'type': 4, 'name': 'item_id', 'name_localizations': None, 'description': '…', 'description_localizations': None, 'required': True}], 'nsfw': False}]
[2025-09-15 11:06:35] [DEBUG   ] discord.gateway: For Shard ID None: WebSocket Event: {'t': 'INTERACTION_CREATE', 's': 4, 'op': 0, 'd': {'version': 1, 'type': 2, 'token': 'aW50ZXJhY3Rpb246MTQxNzE3OTc5NTc5OTgwNjA3NjpUMEdiSm9YcU9sZXhwN2xvWnNFTmN0ZkJpTDdtamFDN2VvNHZWdHRQTkZzUFNKVFFqUktTWDJMa3lzUXJQZEw1SGdweERHQllkRTExWjVmNEN4a3NOdFZHTnRpWjBHWFgzTHpteVpydE9IVU9xaVVpVkJ6ZWgwN1p2bEtXSG85VQ', 'member': {'user': {'username': 'penguin699634', 'public_flags': 0, 'primary_guild': None, 'id': '1145804600012718159', 'global_name': 'owusu', 'display_name_styles': None, 'discriminator': '0', 'collectibles': None, 'clan': None, 'avatar_decoration_data': None, 'avatar': '9ed6ae3abfcebf44a1af017537f66e10'}, 'unusual_dm_activity_until': None, 'roles': ['1417162523840352310'], 'premium_since': None, 'permissions': '4503599627370495', 'pending': False, 'nick': None, 'mute': False, 'joined_at': '2023-08-28T19:40:33.745000+00:00', 'flags': 0, 'deaf': False, 'communication_disabled_until': None, 'collectibles': None, 'banner': None, 'avatar': None}, 'locale': 'en-US', 'id': '1417179795799806076', 'guild_locale': 'en-US', 'guild_id': '1145805141291827272', 'guild': {'locale': 'en-US', 'id': '1145805141291827272', 'features': []}, 'entitlements': [], 'entitlement_sku_ids': [], 'data': {'type': 1, 'options': [{'value': 583722932, 'type': 4, 'name': 'item_id'}], 'name': 'getinfo', 'id': '1417178963268075617', 'guild_id': '1145805141291827272'}, 'context': 0, 'channel_id': '1145805142168449156', 'channel': {'type': 0, 'topic': None, 'rate_limit_per_user': 0, 'position': 0, 'permissions': '4503599627370495', 'parent_id': '1145805142168449154', 'nsfw': False, 'name': 'general', 'last_message_id': '1417177887810916456', 'id': '1145805142168449156', 'guild_id': '1145805141291827272', 'flags': 0}, 'authorizing_integration_owners': {'0': '1145805141291827272'}, 'attachment_size_limit': 10485760, 'application_id': '1417157822289805362', 'app_permissions': '4500273547963969'}}
[2025-09-15 11:06:35] [DEBUG   ] discord.client: Dispatching event socket_event_type
[2025-09-15 11:06:35] [DEBUG   ] discord.client: Dispatching event interaction
[2025-09-15 11:06:36] [DEBUG   ] discord.gateway: For Shard ID None: WebSocket Event: {'t': 'MESSAGE_CREATE', 's': 5, 'op': 0, 'd': {'webhook_id': '1417157822289805362', 'type': 20, 'tts': False, 'timestamp': '2025-09-15T16:06:34.139000+00:00', 'position': 0, 'pinned': False, 'nonce': '1417179805190717440', 'mentions': [], 'mention_roles': [], 'mention_everyone': False, 'member': {'roles': ['1417159280385065094'], 'premium_since': None, 'pending': False, 'nick': None, 'mute': False, 'joined_at': '2025-09-15T14:45:02.096166+00:00', 'flags': 0, 'deaf': False, 'communication_disabled_until': None, 'banner': None, 'avatar': None}, 'interaction_metadata': {'user': {'username': 'penguin699634', 'public_flags': 0, 'primary_guild': None, 'id': '1145804600012718159', 'global_name': 'owusu', 'display_name_styles': None, 'discriminator': '0', 'collectibles': None, 'clan': None, 'avatar_decoration_data': None, 'avatar': '9ed6ae3abfcebf44a1af017537f66e10'}, 'type': 2, 'name': 'getinfo', 'id': '1417179795799806076', 'command_type': 1, 'authorizing_integration_owners': {'0': '1145805141291827272'}}, 'interaction': {'user': {'username': 'penguin699634', 'public_flags': 0, 'primary_guild': None, 'id': '1145804600012718159', 'global_name': 'owusu', 'display_name_styles': None, 'discriminator': '0', 'collectibles': None, 'clan': None, 'avatar_decoration_data': None, 'avatar': '9ed6ae3abfcebf44a1af017537f66e10'}, 'type': 2, 'name': 'getinfo', 'member': {'roles': ['1417162523840352310'], 'premium_since': None, 'pending': False, 'nick': None, 'mute': False, 'joined_at': '2023-08-28T19:40:33.745000+00:00', 'flags': 0, 'deaf': False, 'communication_disabled_until': None, 'banner': None, 'avatar': None}, 'id': '1417179795799806076'}, 'id': '1417179799545446531', 'flags': 0, 'embeds': [], 'edited_timestamp': None, 'content': "Item: Green Wistful Wink\nProjected: False\nValue: 18000\nDemand: ('high', 3)", 'components': [], 'channel_type': 0, 'channel_id': '1145805142168449156', 'author': {'username': 'RTC', 'public_flags': 0, 'primary_guild': None, 'id': '1417157822289805362', 'global_name': None, 'display_name_styles': None, 'discriminator': '2759', 'collectibles': None, 'clan': None, 'bot': True, 'avatar_decoration_data': None, 'avatar': None}, 'attachments': [], 'application_id': '1417157822289805362', 'guild_id': '1145805141291827272'}}
[2025-09-15 11:06:36] [DEBUG   ] discord.client: Dispatching event socket_event_type
[2025-09-15 11:06:36] [DEBUG   ] discord.client: Dispatching event message
[2025-09-15 11:06:36] [DEBUG   ] discord.webhook.async_: Webhook ID 1417179795799806076 with POST https://discord.com/api/v10/interactions/1417179795799806076/aW50ZXJhY3Rpb246MTQxNzE3OTc5NTc5OTgwNjA3NjpUMEdiSm9YcU9sZXhwN2xvWnNFTmN0ZkJpTDdtamFDN2VvNHZWdHRQTkZzUFNKVFFqUktTWDJMa3lzUXJQZEw1SGdweERHQllkRTExWjVmNEN4a3NOdFZHTnRpWjBHWFgzTHpteVpydE9IVU9xaVVpVkJ6ZWgwN1p2bEtXSG85VQ/callback has returned status code 200
[2025-09-15 11:06:36] [DEBUG   ] discord.client: Dispatching event app_command_completion
[2025-09-15 11:07:07] [DEBUG   ] discord.gateway: Keeping shard ID None websocket alive with sequence 5.
[2025-09-15 11:07:07] [DEBUG   ] discord.gateway: For Shard ID None: WebSocket Event: {'t': None, 's': None, 'op': 11, 'd': None}
[2025-09-15 11:07:48] [DEBUG   ] discord.gateway: Keeping shard ID None websocket alive with sequence 5.
[2025-09-15 11:07:48] [DEBUG   ] discord.gateway: For Shard ID None: WebSocket Event: {'t': None, 's': None, 'op': 11, 'd': None}
[2025-09-15 11:08:29] [DEBUG   ] discord.gateway: Keeping shard ID None websocket alive with sequence 5.
[2025-09-15 11:08:29] [DEBUG   ] discord.gateway: For Shard ID None: WebSocket Event: {'t': None, 's': None, 'op': 11, 'd': None}
[2025-09-15 11:09:10] [DEBUG   ] discord.gateway: Keeping shard ID None websocket alive with sequence 5.
[2025-09-15 11:09:11] [DEBUG   ] discord.gateway: For Shard ID None: WebSocket Event: {'t': None, 's': None, 'op': 11, 'd': None}
[2025-09-15 11:09:52] [DEBUG   ] discord.gateway: Keeping shard ID None websocket alive with sequence 5.
[2025-09-15 11:09:52] [DEBUG   ] discord.gateway: For Shard ID None: WebSocket Event: {'t': None, 's': None, 'op': 11, 'd': None}
